,States,Coure_Outcome ,Measure ,YEAR_2011,YEAR_2012,YEAR_2013,YEAR_2014,YEAR_2015,YEAR_2016,YEAR_2017,YEAR_2018,YEAR_2019,YEAR_2020
858,North Dakota,Traffic Fatalities,Total (C-1),148.0,170.0,148.0,135.0,131.0,113.0,116.0,105.0,100.0,100.0
859,North Dakota,Traffic Fatalities,Rural,132.0,146.0,138.0,116.0,122.0,106.0,103.0,91.0,84.0,76.0
860,North Dakota,Traffic Fatalities,Urban,16.0,24.0,10.0,19.0,9.0,7.0,10.0,14.0,16.0,24.0
861,North Dakota,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
884,Ohio,Traffic Fatalities,Total (C-1),1017.0,1121.0,989.0,1006.0,1110.0,1132.0,1179.0,1068.0,1153.0,1230.0
885,Ohio,Traffic Fatalities,Rural,661.0,640.0,513.0,496.0,492.0,508.0,552.0,471.0,530.0,471.0
886,Ohio,Traffic Fatalities,Urban,356.0,481.0,471.0,506.0,610.0,614.0,620.0,580.0,617.0,727.0
887,Ohio,Traffic Fatalities,Unknown,0.0,0.0,5.0,4.0,8.0,10.0,7.0,17.0,6.0,32.0
910,Oklahoma,Traffic Fatalities,Total (C-1),696.0,709.0,678.0,669.0,645.0,687.0,657.0,655.0,640.0,652.0
911,Oklahoma,Traffic Fatalities,Rural,497.0,468.0,449.0,468.0,391.0,426.0,417.0,429.0,422.0,390.0
912,Oklahoma,Traffic Fatalities,Urban,199.0,241.0,229.0,201.0,254.0,260.0,240.0,225.0,217.0,262.0
913,Oklahoma,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
936,Oregon,Traffic Fatalities,Total (C-1),331.0,337.0,313.0,357.0,446.0,498.0,439.0,502.0,493.0,508.0
937,Oregon,Traffic Fatalities,Rural,217.0,229.0,199.0,237.0,282.0,309.0,237.0,286.0,280.0,285.0
938,Oregon,Traffic Fatalities,Urban,114.0,108.0,114.0,120.0,163.0,189.0,202.0,216.0,213.0,223.0
939,Oregon,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
962,Pennsylvania,Traffic Fatalities,Total (C-1),1286.0,1310.0,1210.0,1195.0,1200.0,1188.0,1137.0,1190.0,1059.0,1129.0
963,Pennsylvania,Traffic Fatalities,Rural,640.0,697.0,629.0,610.0,616.0,647.0,607.0,525.0,501.0,498.0
964,Pennsylvania,Traffic Fatalities,Urban,646.0,613.0,581.0,585.0,581.0,541.0,528.0,660.0,552.0,626.0
965,Pennsylvania,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,6.0,5.0
988,Rhode Island,Traffic Fatalities,Total (C-1),66.0,64.0,65.0,51.0,45.0,51.0,84.0,59.0,57.0,67.0
989,Rhode Island,Traffic Fatalities,Rural,7.0,10.0,5.0,6.0,7.0,10.0,19.0,16.0,3.0,12.0
990,Rhode Island,Traffic Fatalities,Urban,59.0,54.0,60.0,45.0,38.0,41.0,65.0,42.0,54.0,55.0
991,Rhode Island,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1014,South Carolina,Traffic Fatalities,Total (C-1),828.0,863.0,767.0,823.0,979.0,1020.0,989.0,1036.0,1006.0,1064.0
1015,South Carolina,Traffic Fatalities,Rural,694.0,748.0,614.0,570.0,555.0,613.0,688.0,679.0,689.0,782.0
1016,South Carolina,Traffic Fatalities,Urban,134.0,115.0,153.0,253.0,424.0,407.0,301.0,357.0,317.0,282.0
1017,South Carolina,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1040,South Dakota,Traffic Fatalities,Total (C-1),111.0,133.0,135.0,136.0,134.0,116.0,129.0,130.0,102.0,141.0
1041,South Dakota,Traffic Fatalities,Rural,96.0,117.0,118.0,115.0,114.0,103.0,109.0,117.0,84.0,109.0
1042,South Dakota,Traffic Fatalities,Urban,15.0,16.0,17.0,21.0,20.0,13.0,20.0,13.0,18.0,32.0
1043,South Dakota,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066,Tennessee,Traffic Fatalities,Total (C-1),937.0,1015.0,995.0,963.0,962.0,1037.0,1024.0,1040.0,1136.0,1217.0
1067,Tennessee,Traffic Fatalities,Rural,542.0,576.0,534.0,454.0,482.0,465.0,494.0,471.0,514.0,513.0
1068,Tennessee,Traffic Fatalities,Urban,395.0,439.0,461.0,509.0,478.0,568.0,529.0,569.0,621.0,704.0
1069,Tennessee,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0
1092,Texas,Traffic Fatalities,Total (C-1),3054.0,3408.0,3389.0,3536.0,3582.0,3797.0,3732.0,3648.0,3619.0,3874.0
1093,Texas,Traffic Fatalities,Rural,1464.0,1696.0,1663.0,1780.0,1622.0,1590.0,1505.0,1523.0,1453.0,1503.0
1094,Texas,Traffic Fatalities,Urban,1582.0,1711.0,1726.0,1750.0,1948.0,2205.0,2214.0,2113.0,2159.0,2368.0
1095,Texas,Traffic Fatalities,Unknown,8.0,1.0,0.0,6.0,12.0,2.0,13.0,12.0,7.0,3.0
1118,Utah,Traffic Fatalities,Total (C-1),243.0,217.0,220.0,256.0,278.0,281.0,273.0,260.0,248.0,276.0
1119,Utah,Traffic Fatalities,Rural,117.0,95.0,107.0,125.0,127.0,121.0,117.0,93.0,116.0,111.0
1120,Utah,Traffic Fatalities,Urban,126.0,122.0,113.0,131.0,151.0,160.0,156.0,165.0,131.0,165.0
1121,Utah,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
1144,Vermont,Traffic Fatalities,Total (C-1),55.0,77.0,69.0,44.0,57.0,62.0,69.0,68.0,47.0,62.0
1145,Vermont,Traffic Fatalities,Rural,42.0,63.0,58.0,37.0,48.0,52.0,56.0,60.0,42.0,49.0
1146,Vermont,Traffic Fatalities,Urban,13.0,14.0,11.0,7.0,9.0,10.0,13.0,7.0,5.0,13.0
1147,Vermont,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1170,Virginia,Traffic Fatalities,Total (C-1),764.0,776.0,740.0,703.0,754.0,760.0,839.0,820.0,831.0,850.0
1171,Virginia,Traffic Fatalities,Rural,405.0,500.0,473.0,448.0,484.0,477.0,519.0,471.0,499.0,490.0
1172,Virginia,Traffic Fatalities,Urban,279.0,259.0,260.0,247.0,269.0,281.0,319.0,346.0,328.0,360.0
1173,Virginia,Traffic Fatalities,Unknown,80.0,17.0,7.0,8.0,1.0,2.0,1.0,3.0,4.0,0.0
1196,Washington,Traffic Fatalities,Total (C-1),454.0,438.0,436.0,462.0,551.0,536.0,563.0,539.0,538.0,560.0
1197,Washington,Traffic Fatalities,Rural,274.0,271.0,224.0,214.0,261.0,240.0,235.0,240.0,236.0,243.0
1198,Washington,Traffic Fatalities,Urban,178.0,167.0,212.0,246.0,287.0,295.0,316.0,293.0,298.0,315.0
1199,Washington,Traffic Fatalities,Unknown,2.0,0.0,0.0,2.0,3.0,1.0,12.0,6.0,4.0,2.0
1222,West Virginia,Traffic Fatalities,Total (C-1),338.0,339.0,332.0,272.0,268.0,269.0,304.0,294.0,260.0,267.0
1223,West Virginia,Traffic Fatalities,Rural,239.0,261.0,241.0,205.0,190.0,169.0,203.0,178.0,167.0,171.0
1224,West Virginia,Traffic Fatalities,Urban,99.0,78.0,91.0,67.0,78.0,99.0,98.0,116.0,87.0,89.0
1225,West Virginia,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,7.0
1248,Wisconsin,Traffic Fatalities,Total (C-1),582.0,615.0,543.0,506.0,566.0,607.0,613.0,589.0,567.0,614.0
1249,Wisconsin,Traffic Fatalities,Rural,377.0,389.0,359.0,338.0,360.0,406.0,397.0,387.0,369.0,382.0
1250,Wisconsin,Traffic Fatalities,Urban,205.0,226.0,181.0,167.0,205.0,194.0,214.0,199.0,192.0,228.0
1251,Wisconsin,Traffic Fatalities,Unknown,0.0,0.0,3.0,1.0,1.0,7.0,2.0,3.0,6.0,4.0
1274,Wyoming,Traffic Fatalities,Total (C-1),135.0,123.0,87.0,150.0,145.0,112.0,123.0,111.0,147.0,127.0
1275,Wyoming,Traffic Fatalities,Rural,97.0,101.0,72.0,121.0,119.0,91.0,95.0,96.0,124.0,102.0
1276,Wyoming,Traffic Fatalities,Urban,38.0,22.0,15.0,29.0,24.0,21.0,28.0,14.0,20.0,25.0
1277,Wyoming,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0
